transaction_id,transaction_date,customer_id,customer_name,product_id,product_name,product_category,region,state,sales_channel,quantity,unit_price,discount,sales_amount,cost,profit,payment_method
1000081,2025-06-12,14204,Customer 14204,P1004,Blender,Home & Kitchen,Southwest,Texas,Store,4,69.99,0.0,279.96,144.0,135.96,Credit Card
1000082,2026-01-13,13378,Customer 13378,P1013,Smart Watch,Electronics,Southeast,South Carolina,Mobile App,2,149.99,0.05,284.98,172.0,112.98,Mobile Pay
1000083,2026-03-09,13411,Customer 13411,P1008,T-Shirt,Clothing,West,Washington,Online,1,24.99,0.05,23.74,10.0,13.74,Credit Card
1000084,2025-08-19,11023,Customer 11023,P1011,T-Shirt,Clothing,Northeast,New York,Online,1,24.99,0.1,22.49,10.0,12.49,Credit Card
1000085,2026-05-03,14190,Customer 14190,P1012,Coffee Maker,Home & Kitchen,Northeast,New Jersey,Online,2,89.99,0.0,179.98,96.0,83.98,Credit Card
1000086,2026-03-05,12124,Customer 12124,P1018,Bluetooth Speaker,Electronics,Northeast,Connecticut,Online,1,59.99,0.05,56.99,31.0,25.99,Credit Card
1000087,2025-02-25,12689,Customer 12689,P1002,Smart Watch,Electronics,Southwest,Nevada,Online,2,149.99,0.05,284.98,172.0,112.98,Mobile Pay
1000088,2025-07-02,14047,Customer 14047,P1020,Desk Lamp,Office,Midwest,Illinois,Online,1,49.99,0.0,49.99,24.0,25.99,Credit Card
1000089,2025-10-14,11577,Customer 11577,P1021,Smart Watch,Electronics,Northeast,New Jersey,Online,5,149.99,0.1,674.96,430.0,244.96,Credit Card
1000090,2025-01-10,10491,Customer 10491,P1001,Mechanical Keyboard,Office,Midwest,Ohio,Online,1,99.99,0.1,89.99,51.0,38.99,Credit Card
1000091,2025-05-30,10080,Customer 10080,P1018,Mechanical Keyboard,Office,Northeast,Connecticut,Online,1,99.99,0.05,94.99,51.0,43.99,Debit Card
1000092,2026-02-21,12530,Customer 12530,P1014,Jeans,Clothing,Southwest,Oklahoma,Online,1,69.99,0.0,69.99,32.0,37.99,Credit Card
1000093,2026-04-12,12793,Customer 12793,P1014,Portable Charger,Electronics,Midwest,Indiana,Store,1,34.99,0.15,29.74,17.5,12.24,Credit Card
1000094,2025-03-14,10769,Customer 10769,P1018,Office Chair,Office,Southeast,South Carolina,Online,1,229.99,0.1,206.99,135.0,71.99,Mobile Pay
1000095,2025-11-22,13005,Customer 13005,P1016,Wireless Mouse,Office,Southeast,South Carolina,Store,2,39.99,0.1,71.98,36.0,35.98,Credit Card
1000096,2025-09-18,10512,Customer 10512,P1003,Jeans,Clothing,Midwest,Illinois,Online,3,69.99,0.2,167.98,96.0,71.98,Debit Card
1000097,2026-04-12,13103,Customer 13103,P1018,Wireless Mouse,Office,Southeast,Florida,Store,3,39.99,0.15,101.97,54.0,47.97,Credit Card
1000098,2026-03-31,12208,Customer 12208,P1017,Blender,Home & Kitchen,Northeast,New York,Online,3,69.99,0.2,167.98,108.0,59.98,Credit Card
1000099,2026-06-05,14962,Customer 14962,P1018,USB-C Hub,Electronics,Northeast,Connecticut,Online,5,39.99,0.15,169.96,95.0,74.96,Credit Card
1000100,2026-05-21,11548,Customer 11548,P1006,Jacket,Clothing,West,Colorado,Store,1,119.99,0.1,107.99,63.0,44.99,Mobile Pay
1000101,2026-02-08,13944,Customer 13944,P1023,Wireless Mouse,Office,West,California,Store,3,39.99,0.1,107.97,54.0,53.97,Credit Card
1000102,2025-05-15,14104,Customer 14104,P1004,Jeans,Clothing,Southwest,Arizona,Store,1,69.99,0.2,55.99,32.0,23.99,PayPal
1000103,2025-05-17,14695,Customer 14695,P1001,T-Shirt,Clothing,Southeast,South Carolina,Online,2,24.99,0.05,47.48,20.0,27.48,Credit Card
1000104,2026-04-03,12440,Customer 12440,P1018,Dumbbell Set,Sports & Outdoors,West,Colorado,Online,3,89.99,0.05,256.47,147.0,109.47,Credit Card
1000105,2026-01-17,12532,Customer 12532,P1015,Hiking Backpack,Sports & Outdoors,Southwest,Arizona,Online,2,99.99,0.2,159.98,102.0,57.98,Credit Card
1000106,2026-02-28,13706,Customer 13706,P1003,Coffee Maker,Home & Kitchen,Southwest,Nevada,Store,1,89.99,0.2,71.99,48.0,23.99,PayPal
1000107,2025-06-03,12538,Customer 12538,P1007,USB-C Hub,Electronics,Midwest,Indiana,Online,1,39.99,0.15,33.99,19.0,14.99,Credit Card
1000108,2026-05-20,13307,Customer 13307,P1003,Water Bottle,Sports & Outdoors,Southeast,North Carolina,Mobile App,4,24.99,0.1,89.96,38.0,51.96,Credit Card
1000109,2025-04-03,12295,Customer 12295,P1010,Hoodie,Clothing,Northeast,Pennsylvania,Online,4,54.99,0.1,197.96,100.0,97.96,Cash
1000110,2026-03-22,14757,Customer 14757,P1018,Hiking Backpack,Sports & Outdoors,West,Utah,Mobile App,3,99.99,0.05,284.97,153.0,131.97,Credit Card
1000111,2025-07-03,14945,Customer 14945,P1004,Mechanical Keyboard,Office,Midwest,Ohio,Mobile App,1,99.99,0.0,99.99,51.0,48.99,Credit Card
1000112,2025-02-18,11301,Customer 11301,P1025,Dumbbell Set,Sports & Outdoors,Southeast,North Carolina,Mobile App,1,89.99,0.0,89.99,49.0,40.99,Mobile Pay
1000113,2026-03-25,10651,Customer 10651,P1024,Bluetooth Speaker,Electronics,Southeast,Florida,Mobile App,1,59.99,0.0,59.99,31.0,28.99,Debit Card
1000114,2026-05-31,13904,Customer 13904,P1015,Wireless Mouse,Office,Midwest,Wisconsin,Store,2,39.99,0.0,79.98,36.0,43.98,Credit Card
1000115,2026-06-15,10967,Customer 10967,P1015,Monitor Stand,Office,Northeast,Massachusetts,Online,1,64.99,0.05,61.74,31.0,30.74,Cash
1000116,2025-01-14,10939,Customer 10939,P1006,Bluetooth Speaker,Electronics,West,Utah,Online,1,59.99,0.2,47.99,31.0,16.99,Credit Card
1000117,2025-09-05,14173,Customer 14173,P1025,Bluetooth Speaker,Electronics,Southwest,Texas,Mobile App,2,59.99,0.05,113.98,62.0,51.98,Credit Card
1000118,2025-07-07,14312,Customer 14312,P1025,Portable Charger,Electronics,Southwest,Oklahoma,Online,1,34.99,0.1,31.49,17.5,13.99,Cash
1000119,2025-07-03,10287,Customer 10287,P1015,USB-C Hub,Electronics,Midwest,Indiana,Online,1,39.99,0.05,37.99,19.0,18.99,Debit Card
1000120,2025-08-01,14368,Customer 14368,P1024,Hiking Backpack,Sports & Outdoors,Midwest,Wisconsin,Online,1,99.99,0.0,99.99,51.0,48.99,Cash
1000121,2025-01-11,14949,Customer 14949,P1001,Camping Tent,Sports & Outdoors,Midwest,Michigan,Mobile App,2,179.99,0.05,341.98,192.0,149.98,Debit Card
1000122,2025-09-22,14088,Customer 14088,P1022,Yoga Mat,Sports & Outdoors,Southwest,Nevada,Online,1,34.99,0.05,33.24,15.0,18.24,PayPal
1000123,2025-02-10,11128,Customer 11128,P1014,Yoga Mat,Sports & Outdoors,Northeast,New York,Mobile App,2,34.99,0.0,69.98,30.0,39.98,Credit Card
1000124,2025-05-09,11606,Customer 11606,P1006,Hoodie,Clothing,Southeast,North Carolina,Store,1,54.99,0.0,54.99,25.0,29.99,Credit Card
1000125,2026-01-28,13195,Customer 13195,P1022,Dumbbell Set,Sports & Outdoors,Northeast,New Jersey,Online,1,89.99,0.0,89.99,49.0,40.99,Credit Card
1000126,2025-03-09,10734,Customer 10734,P1004,Wireless Headphones,Electronics,Midwest,Illinois,Online,3,79.99,0.1,215.97,126.0,89.97,Debit Card
1000127,2026-01-04,14134,Customer 14134,P1004,Blender,Home & Kitchen,Southeast,South Carolina,Online,1,69.99,0.15,59.49,36.0,23.49,Debit Card
1000128,2026-04-03,14217,Customer 14217,P1023,Yoga Mat,Sports & Outdoors,Northeast,New York,Online,2,34.99,0.15,59.48,30.0,29.48,Credit Card
1000129,2026-06-18,14249,Customer 14249,P1010,Monitor Stand,Office,Northeast,New Jersey,Online,1,64.99,0.0,64.99,31.0,33.99,Credit Card
1000130,2025-12-17,12948,Customer 12948,P1002,Jeans,Clothing,Midwest,Michigan,Online,2,69.99,0.0,139.98,64.0,75.98,Credit Card
1000131,2026-04-27,14653,Customer 14653,P1003,Office Chair,Office,Northeast,New Jersey,Online,1,229.99,0.0,229.99,135.0,94.99,PayPal
1000132,2025-09-17,12241,Customer 12241,P1015,Air Fryer,Home & Kitchen,West,Colorado,Store,1,119.99,0.0,119.99,67.0,52.99,Debit Card
1000133,2026-05-09,11807,Customer 11807,P1009,Air Fryer,Home & Kitchen,Midwest,Michigan,Store,2,119.99,0.1,215.98,134.0,81.98,Credit Card
1000134,2026-02-27,12064,Customer 12064,P1002,Jacket,Clothing,Southeast,Georgia,Online,5,119.99,0.0,599.95,315.0,284.95,Debit Card
1000135,2026-05-16,11276,Customer 11276,P1017,Wireless Mouse,Office,Midwest,Michigan,Online,1,39.99,0.05,37.99,18.0,19.99,PayPal
1000136,2026-05-15,10507,Customer 10507,P1004,Blender,Home & Kitchen,Northeast,New Jersey,Online,2,69.99,0.1,125.98,72.0,53.98,Debit Card
1000137,2026-01-12,12370,Customer 12370,P1005,Wireless Mouse,Office,West,Colorado,Store,1,39.99,0.1,35.99,18.0,17.99,Credit Card
1000138,2025-05-03,13235,Customer 13235,P1010,Air Fryer,Home & Kitchen,Midwest,Michigan,Store,2,119.99,0.2,191.98,134.0,57.98,Credit Card
1000139,2025-01-26,13905,Customer 13905,P1017,Desk Lamp,Office,Southwest,Arizona,Store,4,49.99,0.15,169.97,96.0,73.97,Mobile Pay
1000140,2025-06-26,12605,Customer 12605,P1012,Hoodie,Clothing,Northeast,New York,Store,1,54.99,0.05,52.24,25.0,27.24,Mobile Pay
1000141,2025-06-12,14938,Customer 14938,P1015,Mechanical Keyboard,Office,Midwest,Indiana,Online,4,99.99,0.15,339.97,204.0,135.97,Credit Card
1000142,2026-05-26,14807,Customer 14807,P1017,Yoga Mat,Sports & Outdoors,Midwest,Ohio,Mobile App,4,34.99,0.0,139.96,60.0,79.96,Debit Card
1000143,2025-01-21,10752,Customer 10752,P1008,Wireless Mouse,Office,West,Oregon,Online,3,39.99,0.1,107.97,54.0,53.97,PayPal
1000144,2025-10-25,13376,Customer 13376,P1025,Camping Tent,Sports & Outdoors,Midwest,Wisconsin,Online,1,179.99,0.0,179.99,96.0,83.99,Credit Card
1000145,2026-06-24,13189,Customer 13189,P1009,Jacket,Clothing,Midwest,Indiana,Store,2,119.99,0.05,227.98,126.0,101.98,Credit Card
1000146,2025-06-03,14829,Customer 14829,P1021,Camping Tent,Sports & Outdoors,Southeast,Virginia,Store,1,179.99,0.1,161.99,96.0,65.99,Credit Card
1000147,2025-11-13,14185,Customer 14185,P1022,Hoodie,Clothing,Southeast,Georgia,Store,1,54.99,0.15,46.74,25.0,21.74,Debit Card
1000148,2025-03-28,10700,Customer 10700,P1018,Desk Lamp,Office,Midwest,Ohio,Online,2,49.99,0.2,79.98,48.0,31.98,Debit Card
1000149,2025-08-18,11045,Customer 11045,P1009,Office Chair,Office,Midwest,Indiana,Mobile App,2,229.99,0.25,344.98,270.0,74.98,Credit Card
1000150,2026-06-24,13413,Customer 13413,P1003,Office Chair,Office,Northeast,New York,Online,2,229.99,0.15,390.98,270.0,120.98,Mobile Pay
1000151,2026-01-02,11299,Customer 11299,P1013,Portable Charger,Electronics,West,Utah,Store,1,34.99,0.0,34.99,17.5,17.49,Credit Card
1000152,2025-10-20,14072,Customer 14072,P1024,Portable Charger,Electronics,West,Utah,Online,1,34.99,0.15,29.74,17.5,12.24,Mobile Pay
1000153,2026-06-14,12754,Customer 12754,P1023,Wireless Headphones,Electronics,Northeast,Pennsylvania,Online,1,79.99,0.1,71.99,42.0,29.99,PayPal
1000154,2026-04-16,13056,Customer 13056,P1008,Jeans,Clothing,Midwest,Ohio,Online,3,69.99,0.05,199.47,96.0,103.47,PayPal
1000155,2025-06-01,14260,Customer 14260,P1006,Bluetooth Speaker,Electronics,Northeast,Massachusetts,Online,3,59.99,0.0,179.97,93.0,86.97,Debit Card
1000156,2025-12-14,13075,Customer 13075,P1008,Mechanical Keyboard,Office,Southwest,Oklahoma,Online,1,99.99,0.1,89.99,51.0,38.99,Mobile Pay
1000157,2025-12-21,13000,Customer 13000,P1004,USB-C Hub,Electronics,Southeast,Florida,Store,1,39.99,0.05,37.99,19.0,18.99,Credit Card
1000158,2025-08-31,10779,Customer 10779,P1014,Bluetooth Speaker,Electronics,Southwest,Texas,Mobile App,1,59.99,0.15,50.99,31.0,19.99,PayPal
1000159,2025-04-10,14285,Customer 14285,P1005,Monitor Stand,Office,Southwest,Oklahoma,Store,2,64.99,0.2,103.98,62.0,41.98,Cash
1000160,2026-04-14,11607,Customer 11607,P1005,Yoga Mat,Sports & Outdoors,Southwest,Texas,Store,1,34.99,0.2,27.99,15.0,12.99,Credit Card
1000161,2025-03-30,11398,Customer 11398,P1007,Blender,Home & Kitchen,Northeast,Pennsylvania,Online,3,69.99,0.05,199.47,108.0,91.47,Credit Card
1000162,2025-07-14,13163,Customer 13163,P1009,Hiking Backpack,Sports & Outdoors,West,Colorado,Online,3,99.99,0.15,254.97,153.0,101.97,Credit Card
1000163,2025-05-16,10657,Customer 10657,P1005,Smart Watch,Electronics,Southeast,South Carolina,Online,2,149.99,0.1,269.98,172.0,97.98,Debit Card
1000164,2026-02-24,12366,Customer 12366,P1002,Wireless Mouse,Office,Northeast,New Jersey,Store,2,39.99,0.0,79.98,36.0,43.98,Credit Card
1000165,2025-02-23,13282,Customer 13282,P1023,USB-C Hub,Electronics,Midwest,Illinois,Online,2,39.99,0.0,79.98,38.0,41.98,Debit Card
1000166,2025-09-05,14316,Customer 14316,P1022,Air Fryer,Home & Kitchen,Southeast,Florida,Online,1,119.99,0.0,119.99,67.0,52.99,Debit Card
1000167,2026-04-06,11127,Customer 11127,P1022,USB-C Hub,Electronics,West,California,Store,2,39.99,0.0,79.98,38.0,41.98,Debit Card
1000168,2026-05-05,13887,Customer 13887,P1015,Bluetooth Speaker,Electronics,West,Washington,Store,2,59.99,0.15,101.98,62.0,39.98,Cash
1000169,2025-04-24,14006,Customer 14006,P1020,Hoodie,Clothing,Southeast,North Carolina,Store,1,54.99,0.0,54.99,25.0,29.99,PayPal
1000170,2025-10-02,12675,Customer 12675,P1010,Jeans,Clothing,West,Utah,Online,1,69.99,0.15,59.49,32.0,27.49,Debit Card
1000171,2025-09-24,14380,Customer 14380,P1004,USB-C Hub,Electronics,Southeast,Virginia,Online,2,39.99,0.0,79.98,38.0,41.98,Cash
1000172,2025-06-27,13060,Customer 13060,P1019,Dumbbell Set,Sports & Outdoors,Midwest,Michigan,Online,4,89.99,0.25,269.97,196.0,73.97,Mobile Pay
1000173,2026-03-15,11388,Customer 11388,P1011,Hoodie,Clothing,Southeast,Florida,Store,1,54.99,0.05,52.24,25.0,27.24,Debit Card
